Time (s),Target RTD,Measured RTD,PWM (%)
14.911233901977539,150.0,142.74,50.6
14.92041301727295,150.0,144.48,45.6
14.930989503860474,150.0,141.59,54.0
14.941081285476685,150.0,142.16,52.3
14.951122045516968,150.0,141.59,54.0
14.961196422576904,150.0,142.02,52.8
14.971231937408447,150.0,141.59,54.0
14.980500221252441,150.0,141.59,54.1
14.99769377708435,150.0,141.59,54.1
15.007719278335571,150.0,142.02,52.9
15.012732028961182,150.0,141.74,53.7
15.020749807357788,150.0,142.45,51.6
15.031330823898315,150.0,141.59,54.2
15.040607452392578,150.0,141.59,54.2
15.050633430480957,150.0,141.59,54.2
15.060737371444702,150.0,142.59,51.3
15.070846319198608,150.0,141.59,54.2
15.080899715423584,150.0,141.59,54.3
15.090932846069336,150.0,141.59,54.3
15.107100486755371,150.0,142.45,51.8
15.117330312728882,150.0,141.59,54.3
15.12277603149414,150.0,141.59,54.3
15.131106615066528,150.0,141.59,54.4
15.141132354736328,150.0,142.16,52.7
15.151158094406128,150.0,141.59,54.4
15.160609483718872,150.0,142.16,52.8
15.17114520072937,150.0,141.02,56.1
15.18117070198059,150.0,141.59,54.5
15.19051456451416,150.0,141.59,54.5
15.20054817199707,150.0,141.59,54.5
15.216795206069946,150.0,141.59,54.5
15.22661805152893,150.0,143.32,49.5
15.23216199874878,150.0,141.59,54.6
15.240414142608643,150.0,141.74,54.2
15.25051474571228,150.0,141.59,54.6
15.26059603691101,150.0,142.45,52.1
15.270669937133789,150.0,141.88,53.8
15.28128170967102,150.0,141.59,54.7
15.291345119476318,150.0,143.32,49.7
15.300394058227539,150.0,140.88,56.8
15.310415983200073,150.0,142.31,52.6
15.325630187988281,150.0,142.74,51.4
15.333452224731445,150.0,140.46,58.0
15.340577602386475,150.0,142.45,52.3
15.350590944290161,150.0,142.45,52.3
15.3611319065094,150.0,142.31,52.7
15.371158361434937,150.0,142.45,52.3
15.381184339523315,150.0,142.16,53.2
15.391211032867432,150.0,141.74,54.5
15.40123724937439,150.0,141.59,54.9
15.41126298904419,150.0,143.32,49.9
15.421286821365356,150.0,142.16,53.3
15.435513019561768,150.0,143.32,49.9
15.443761348724365,150.0,143.17,50.4
15.450781106948853,150.0,143.32,50.0
15.461073398590088,150.0,142.16,53.3
15.470335006713867,150.0,142.74,51.7
15.480981588363647,150.0,143.32,50.0
15.490416765213013,150.0,144.19,47.5
15.50072431564331,150.0,141.59,55.1
15.510528564453125,150.0,143.03,50.9
15.520960092544556,150.0,142.74,51.8
15.543613195419312,150.0,142.16,53.5
15.54690408706665,150.0,142.74,51.8
15.553988695144653,150.0,142.74,51.8
15.56074070930481,150.0,141.88,54.3
15.570296049118042,150.0,143.32,50.2
15.580581665039062,150.0,143.32,50.2
15.590607643127441,150.0,141.59,55.2
15.6006338596344,150.0,142.74,51.9
15.610660076141357,150.0,143.03,51.1
15.62068247795105,150.0,143.75,49.0
15.631208896636963,150.0,142.16,53.6
15.65042781829834,150.0,142.16,53.7
15.654958248138428,150.0,142.74,52.0
15.663120985031128,150.0,143.32,50.4
15.671260118484497,150.0,142.74,52.0
15.680684089660645,150.0,142.16,53.7
15.690807580947876,150.0,143.46,50.0
15.701147079467773,150.0,142.74,52.1
15.711538314819336,150.0,143.32,50.4
15.720874071121216,150.0,143.32,50.5
15.730408668518066,150.0,142.74,52.1
15.741008043289185,150.0,143.9,48.8
15.761495113372803,150.0,142.74,52.2
15.7648446559906,150.0,142.74,52.2
15.773133993148804,150.0,142.16,53.9
15.781161546707153,150.0,143.9,48.9
15.790462493896484,150.0,142.59,52.7
15.800579071044922,150.0,143.32,50.6
15.810680627822876,150.0,143.46,50.2
15.820722103118896,150.0,142.74,52.3
15.830748558044434,150.0,144.77,46.4
15.840328216552734,150.0,143.32,50.7
15.850443124771118,150.0,142.74,52.3
15.864210367202759,150.0,143.9,49.0
15.874291181564331,150.0,142.31,53.6
15.882354736328125,150.0,142.74,52.4
15.890674352645874,150.0,142.45,53.2
15.900336980819702,150.0,144.92,46.1
15.910951137542725,150.0,143.17,51.2
15.920306205749512,150.0,143.61,49.9
15.931123971939087,150.0,143.46,50.4
15.940370082855225,150.0,143.9,49.1
15.950665950775146,150.0,143.9,49.2
15.967815637588501,150.0,142.74,52.5
15.97425365447998,150.0,143.46,50.4
15.981917142868042,150.0,143.9,49.2
15.990809917449951,150.0,142.74,52.6
16.000316619873047,150.0,144.33,48.0
16.010926723480225,150.0,143.9,49.2
16.020483016967773,150.0,142.74,52.6
16.030715465545654,150.0,143.9,49.3
16.040499687194824,150.0,142.74,52.7
16.050780296325684,150.0,143.32,51.0
16.061151027679443,150.0,144.48,47.6
16.076061010360718,150.0,143.9,49.3
16.08307933807373,150.0,144.48,47.7
16.091100454330444,150.0,145.36,45.1
16.101126670837402,150.0,143.9,49.4
16.110262870788574,150.0,144.48,47.7
16.12099313735962,150.0,143.9,49.4
16.131026029586792,150.0,143.32,51.1
16.140722036361694,150.0,144.48,47.8
16.151167154312134,150.0,143.32,51.1
16.161317586898804,150.0,142.74,52.8
16.19479990005493,150.0,142.74,52.8
16.199214220046997,150.0,143.9,49.5
16.205231428146362,150.0,143.9,49.5
16.212249517440796,150.0,143.9,49.5
16.2142550945282,150.0,143.9,49.6
16.221272945404053,150.0,144.33,48.3
16.230907440185547,150.0,143.32,51.3
16.240930318832397,150.0,143.9,49.6
16.250958681106567,150.0,143.17,51.7
16.260980129241943,150.0,143.03,52.2
16.271007537841797,150.0,143.9,49.6
16.284348487854004,150.0,142.74,53.0
16.295883893966675,150.0,143.03,52.2
16.301899433135986,150.0,143.9,49.7
16.310923099517822,150.0,143.9,49.7
16.320947408676147,150.0,143.9,49.7
16.330973625183105,150.0,144.77,47.2
16.340526819229126,150.0,144.62,47.6
16.350823402404785,150.0,143.9,49.8
16.36036252975464,150.0,145.06,46.4
16.37061858177185,150.0,144.19,49.0
16.380646467208862,150.0,143.9,49.8
16.395684719085693,150.0,145.21,46.0
16.403705596923828,150.0,144.48,48.1
16.41072416305542,150.0,145.36,45.6
16.420747756958008,150.0,143.32,51.5
16.431277990341187,150.0,143.9,49.9
16.440298795700073,150.0,144.77,47.4
16.450393676757812,150.0,143.03,52.4
16.460711240768433,150.0,143.9,49.9
16.470757484436035,150.0,145.5,45.3
16.48088836669922,150.0,144.48,48.3
16.50211763381958,150.0,143.9,50.0
16.50583839416504,150.0,144.19,49.1
16.513858556747437,150.0,144.48,48.3
16.52087378501892,150.0,143.32,51.7
16.529897451400757,150.0,144.19,49.2
16.540863275527954,150.0,144.48,48.3
16.550626754760742,150.0,143.9,50.0
16.560789346694946,150.0,145.06,46.7
16.570940256118774,150.0,144.48,48.4
16.58108139038086,150.0,144.92,47.1
16.59023118019104,150.0,143.9,50.1
16.608981132507324,150.0,145.06,46.7
16.613367319107056,150.0,145.95,44.2
16.62165665626526,150.0,144.77,47.6
16.629924297332764,150.0,144.19,49.3
16.640583515167236,150.0,144.33,48.9
16.650373220443726,150.0,143.9,50.2
16.660399198532104,150.0,144.77,47.7
16.670482635498047,150.0,145.06,46.8
16.680564641952515,150.0,144.48,48.5
16.69058609008789,150.0,142.88,53.2
16.700995206832886,150.0,144.48,48.6
16.721059322357178,150.0,143.9,50.3
16.724777936935425,150.0,144.48,48.6
16.732499837875366,150.0,143.46,51.6
16.741138696670532,150.0,144.48,48.6
16.75116491317749,150.0,144.19,49.5
16.76118779182434,150.0,145.65,45.2
16.770211696624756,150.0,145.36,46.1
16.780738592147827,150.0,143.9,50.4
16.790764570236206,150.0,144.48,48.7
16.800790309906006,150.0,144.33,49.1
16.810925245285034,150.0,143.9,50.4
16.830739974975586,150.0,144.19,49.6
16.83475375175476,150.0,143.9,50.4
16.842774868011475,150.0,143.9,50.4
16.850796222686768,150.0,145.06,47.1
16.860822439193726,150.0,141.88,56.3
16.870848894119263,150.0,144.48,48.8
16.880950689315796,150.0,145.36,46.3
16.89022445678711,150.0,145.8,45.0
16.90052032470703,150.0,144.19,49.7
16.91068696975708,150.0,144.19,49.7
16.920957565307617,150.0,141.59,57.2
16.940293073654175,150.0,148.33,37.7
16.942854166030884,150.0,144.48,48.9
16.951940774917603,150.0,145.06,47.2
16.9609854221344,150.0,144.48,48.9
16.971011638641357,150.0,144.48,48.9
16.981111764907837,150.0,143.9,50.6
16.990573167800903,150.0,146.24,43.8
17.000648260116577,150.0,145.65,45.6
17.01072645187378,150.0,143.9,50.7
17.020906925201416,150.0,145.65,45.6
17.041034698486328,150.0,145.5,46.0
17.04491925239563,150.0,145.21,46.9
17.052247285842896,150.0,145.06,47.3
17.060319423675537,150.0,145.06,47.3
17.070068836212158,150.0,145.06,47.4
17.080910205841064,150.0,145.06,47.4
17.09051489830017,150.0,144.04,50.3
17.100417613983154,150.0,144.48,49.1
17.111003875732422,150.0,145.06,47.4
17.121063470840454,150.0,144.48,49.1
17.130634546279907,150.0,145.65,45.7
17.148483514785767,150.0,145.65,45.7
17.156559467315674,150.0,145.06,47.5
17.161995887756348,150.0,144.19,50.0
